The Body Snatcher	1945	Bobby Burns	1878	1966	[Mourner]
Up to His Ears	1965	Jean-Paul Belmondo	1933	2021	[Arthur Lempereur]
Fahrenheit 451	1966	Anton Diffring	1916	1989	[Fabian]
Fahrenheit 451	1966	Anton Diffring	1916	1989	[Headmistress]
Counterpoint	1967	Anton Diffring	1916	1989	[Colonel Arndt]
They Might Be Giants	1971	Al Lewis	1923	2006	[Messenger]
Death of a Salesman	1985	Charles Durning	1923	2012	[Charley]
Stick	1985	Charles Durning	1923	2012	[Chucky]
Big Trouble in Little China	1986	Peter Kwong	1952	NULL	[Rain]
Liar Liar	1997	Justin Cooper	1988	NULL	[Max Reede]
The Phantom of the Opera	2004	Victor McGuire	1964	NULL	[Piangi]
The Last Cowboy	2003	Muse Watson	1948	NULL	[Otis Bertram]
Hachi: A Dog's Tale	2009	Jason Alexander	1959	NULL	[Carl]
OSS 117: Lost in Rio	2009	Pierre Bellemare	1929	2018	[Lesignac]
Equation to an Unknown	1980	Thierry Dufour	NULL	NULL	[Un joueur]
Peacock	2010	Graham Beckel	1949	NULL	[Connor Black]
SuperBrother	2009	Viktor Kruse Palshøj	1994	NULL	[Buller]
Le mac	2010	Doudou Masta	1971	NULL	[Slim le saurien]
The Weekend Away	2022	Parth Thakerar	1989	NULL	[Jay]
Ace Wonder: Message from a Dead Man	2014	Robert Grossman	NULL	NULL	[Virgil Logan]
The Holy Man III	2010	Kohtee Aramboy	NULL	NULL	NULL
The Queen of Spades	2016	Nikolay Zazulya	1969	NULL	[Patron]
Shadows on the Wall	2015	Chris M. Kauffmann	NULL	NULL	[Palmer Marshall]
Grandma's House	2016	Ashlee Brian	NULL	NULL	[Snoopy]
Jackals	2017	Ben Sullivan	NULL	NULL	[Justin Powell]
Outrage Coda	2017	Hakuryû	1952	NULL	[Lee]
The Racer	2020	Diogo Cid	NULL	NULL	[Enzo]
The Sweetheart	2018	Stephane Garneau-Monten	1989	NULL	[Clerk]
The Hows of Us	2018	Daniel Padilla	1995	NULL	[Primo]
Dark Light	2019	Ben Sullivan	NULL	NULL	[Deputy Hunt]
Young and Innocent	1937	Derrick De Marney	1906	1978	[Robert Tisdall]
Melody Time	1948	Fred Waring and His Pennsylvanians	NULL	NULL	[Fred Waring and His Pennsylvanians]
An American Werewolf in London	1981	Griffin Dunne	1955	NULL	[Jack Goodman]
Dreamscape	1984	Max von Sydow	1929	2020	[Doctor Paul Novotny]
The Couch Trip	1988	Charles Grodin	1935	2021	[George Maitlin]
Beethoven	1992	Charles Grodin	1935	2021	[George Newton]
Life Is Beautiful	1997	Roberto Benigni	1952	NULL	[Guido]
Turbulence	1997	John Finn	1952	NULL	[Sinclair]
Intimate Affairs	2001	Terrence Howard	1969	NULL	[Lorenz]
Four Brothers	2005	Terrence Howard	1969	NULL	[Lt. Green]
Beauty and the Bastard	2005	Mikko Leppilampi	1978	NULL	[D.T.]
Revanche	2008	Johannes Krisch	1966	NULL	[Alex]
Christmas on Ice	2020	Ryan Cooper	1986	NULL	[Noah Tremblay]
Villain	2010	Satoshi Tsumabuki	1980	NULL	[Yûichi Shimizu]
Point Break	2015	Matias Varela	1980	NULL	[Grommet]
Lullaby	2014	Terrence Howard	1969	NULL	[Doctor Crier]
Inch'Allah	2012	Ori Urian	NULL	NULL	[Soldat à la clinique]
The More You Ignore Me	2018	Tony Way	1978	NULL	[Wobbly Wildgoose]
Mardaani	2014	Jisshu Sengupta	1977	NULL	[Dr. Shivaji Roy]
Ocean's Eight	2018	Griffin Dunne	1955	NULL	[Parole Board Officer]
Magellan	2017	D.L. Walker	NULL	NULL	[Secretary Stewart]
Lego Scooby-Doo!: Haunted Hollywood	2016	Scott Menville	NULL	NULL	[Junior]
Almost Home	2018	Sudesh Managodage	NULL	NULL	[Cashier]
Lovecut	2020	Vincent Kolbeck	NULL	NULL	[WG-Bewohner]
The Conquest of Siberia	2019	Aleksandr Lazarev	1967	NULL	[Ivan Bukhgolts]
Miss Sadie Thompson	1953	Rudy Bond	1912	1982	[Pvt. Hodges]
Breakout	1975	Alejandro Rey	1930	1987	[Sanchez]
Chinese Roulette	1976	Alexander Allerson	1930	NULL	[Gerhard Christ]
1984	1984	David Cann	NULL	NULL	[Martin]
Day of the Dead	1985	Richard Liberty	1932	2000	[Dr. Matthew Logan]
Lucas	1986	Tom Hodges	1965	NULL	[Bruno]
Society	1989	Brian Bremer	1967	NULL	[Petrie]
Life Is Beautiful	1997	Sergio Bini Bustric	1953	NULL	[Ferruccio]
Chill Factor	1999	Jordan Mott	NULL	NULL	[Carl]
City by the Sea	2002	William Forsythe	1955	NULL	[Spyder]
Nicholas Nickleby	2002	Jamie Bell	1986	NULL	[Smike]
Madam Q	1996	Ben-Ko Chu	NULL	NULL	NULL
No Escapes	2020	Yuriy Kuznetsov	1946	NULL	[Georgich]
Filth	2013	Jamie Bell	1986	NULL	[Lennox]
Along for the Ride	2022	Ricardo Hurtado	1999	NULL	[Jake]
Hacker: Trust No One	2021	Tony Mardon	NULL	NULL	[Employer 2]
Man on a Ledge	2012	Jamie Bell	1986	NULL	[Joey Cassidy]
Brawl	2012	Yuhkoh Matsuguchi	NULL	NULL	[Capoeira fighter]
Scooby-Doo! Adventures: The Mystery Map	2013	Eric Jacobson	1971	NULL	[Shaggy Rogers - Puppeteer]
NTR Kathanayakudu	2019	S.V. Krishna Reddy	NULL	NULL	[Kamalakara Kameswararao]
Flesh and the Devil	1926	Lars Hanson	1886	1965	[Ulrich von Eltz]
Dancing Pirate	1936	Mitchell Lewis	1880	1956	[Pirate Chief]
Victoria the Great	1937	Charles Carson	1885	1977	[Sir Robert Peel]
Trouble Brewing	1939	George Formby	1904	1961	[George Gullip]
Cimarron	1960	Arthur O'Connell	1908	1981	[Tom Wyatt]
Camelot	1967	Richard Harris	1930	2002	[King Arthur]
Seven Blood-Stained Orchids	1972	Renato Romano	1940	NULL	[The Priest]
Sex Thief	1973	Christopher Neil	1948	NULL	[Guy Hammond]
The Private Eyes	1980	John Fujioka	1925	2018	[Mr. Uwatsum]
The Devil and Holy Water	1983	Luca Sportelli	1927	1999	[Ilario Fiore]
Bull Durham	1988	Tom Silardi	NULL	NULL	[Tony]
Lurking Fear	1994	Joseph Leavengood	NULL	NULL	[Pierce]
Bernie	1996	Paul Le Person	1931	2005	[Bernie, the janitor]
Prey of the Jaguar	1996	John Fujioka	1925	2018	[Master Yee]
G.I. Jane	1997	John Michael Higgins	1963	NULL	[Chief of Staff]
Asylum: Twisted Horror and Fantasy Tales	2020	Cristian Majolo	NULL	NULL	[Male Assistant 1 (segment Asylum)]
Rapture-Palooza	2013	John Michael Higgins	1963	NULL	[Mr. Lewis]
Getaway	2013	Paul Freeman	1943	NULL	[The Man]
Marry a Perfect Man	2012	Ronald Cheng	1972	NULL	[Gu Xuren]
Delirium	2018	August Roads	NULL	NULL	[Lucas]
Entertainment	2015	Craig Holland	NULL	NULL	[Oil Field Tour Guide]
Mother	1925	Victor Vina	1885	1961	[Pierre Amsler - le père]
Trouble Brewing	1939	Joss Ambler	1900	1959	[Lord Redhill]
Raigekitai Shutsudu00f4	1944	Ichirô Tsukida	1909	NULL	NULL
Comes a Horseman	1978	James Caan	1940	2022	[Frank]
Fru00e5n och med herr Gunnar Papphammar	1981	Gösta Ekman	1939	2017	[Herr Gunnar Papphammar]
G.I. Joe: The Movie	1987	François Chau	1959	NULL	[Quick Kick]
Rose Hill	1997	Stuart Wilson	1946	NULL	[Richard Elliot]
Disappearing Acts	2000	Cleveland Sampson	NULL	NULL	[Walter]
The Plane	2005	Rodolphe Pauly	1979	NULL	[L'instituteur]
Hachi: A Dog's Tale	2009	Cary-Hiroyuki Tagawa	1950	NULL	[Ken]
Circumstances 2: The Chase	2020	Martin Davis	NULL	NULL	[Mr. Levitt]
Fortress of War	2010	Andrey Merzlikin	1973	NULL	[Kizhevatov]
Lovers of Hate	2010	Chris Doubek	NULL	NULL	[Rudy]
The Good Neighbor	2016	James Caan	1940	2022	[Harold Grainey]
MFKZ	2017	Jérémie Covillault	1976	NULL	[Espirito]
Charming Christmas	2015	Bruce Gray	1936	2017	[Harold Rossman]
Missing You	2016	Ahn Jae-hong	1986	NULL	[Detective Cha]
The Sweetheart	2018	Jon Cor	1984	NULL	[Brian]
Picture Perfect Mysteries Picture Perfect Mysteries: Newlywed and Dead	2019	Jon Cor	1984	NULL	[Greg Adams]
Dark Light	2019	Ed Brody	NULL	NULL	[Paul Knox]
For the Love of Mary	1948	Don Taylor	1920	1998	[David Paxton]
The Neanderthal Man	1953	Lee Morgan	1902	1967	[Charlie Webb]
I Could Go on Singing	1963	Eric Woodburn	1894	1981	[Verger]
For a Few Dollars More	1965	Gian Maria Volontè	1933	1994	[El Indio (The Indian)]
The Bees	1978	Julio César Imbert	NULL	NULL	[Julio]
Shock Waves	1977	Luke Halpin	1947	NULL	[Keith]
Sleeping Dogs	1977	Clyde Scott	NULL	NULL	[Jesperson]
The Private Eyes	1980	Fred Stuthman	1919	1982	[Lord Morley]
Christiane F.	1981	Rainer Woelk	NULL	NULL	[Leiche]
Sweet Sixteen	1983	Patrick Macnee	1922	2015	[Dr. John Morgan]
Seeding of a Ghost	1983	Erik Ka-Kei Chan	NULL	NULL	[Police Officer]
R.O.T.O.R.	1987	James Cole	1925	2010	[Greg Hutchins]
Until the End of the World	1991	Jean-Charles Dumay	NULL	NULL	[Mechanic]
Psycho IV: The Beginning	1990	Warren Frost	1925	2017	[Dr. Leo Richmond]
Double Trouble	1992	David Paul	1957	2020	[David Jade]
Miranda	2002	Matthew Marsh	1954	NULL	[Charles]
The Ten	2007	Jon Hamm	1971	NULL	[Skydiving Guide Chris Knarl]
Sarah Cooper: Everything's Fine	2020	Jon Hamm	1971	NULL	[Steve Windell]
Sarah Cooper: Everything's Fine	2020	Jon Hamm	1971	NULL	[Kenny L.L]
Set Off	2008	Jiang He	NULL	NULL	[Lao Wu]
Aurora Teagarden Mysteries Aurora Teagarden Mysteries: How to Con A Con	2021	Dylan Sloane	NULL	NULL	[Phillip]
A Birder's Guide to Everything	2013	Daniel Berger	NULL	NULL	[Scarsdale High School Capt]
Unlocked	2017	Matthew Marsh	1954	NULL	[Frank Sutter]
The Congress	2013	Jon Hamm	1971	NULL	[Dylan Truliner]
The Oxbow Cure	2013	Adam Barnes	NULL	NULL	NULL
June in January	2014	Barclay Hope	1958	NULL	[Charlie Fraser]
All You Need Is Love	2015	Haman Hu	1981	NULL	[TV Show Presenter]
Breakdown Forest - Reise in den Abgrund	2019	Mathieu Carrière	1950	NULL	[Der Billionär]
Raaz Reboot	2016	Gaurav Arora	NULL	NULL	[Rehan]
The Hunchback of Notre Dame	1939	George Zucco	1886	1960	[Procurator]
The Price of Sin	1966	René Deltgen	1909	1979	[Dr. med. Diener]
The Dunwich Horror	1970	Ed Begley	1901	1970	[Dr. Henry Armitage]
Sex Thief	1973	Michael Armstrong	1944	NULL	[Sergeant Plinth]
First Blood	1982	Bill McKinney	1931	2011	[Kern]
Fear City	1984	Joe Santos	1931	2016	[Frank]
Scuola di ladri	1986	Claudio Boldi	NULL	NULL	[La guardia]
Rush	1991	Gregg Allman	1947	2017	[Gaines]
