1917	Straight Shooting	Fermín Álvarez	5.7	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/fermín_álvarez/straight_shooting_1917
1920	Deception	Paul Pendergast	5.5	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/paul_pendergast/deception_1920
1925	Variety	Claire Johnson	7.7	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/claire_johnson/variety_1925
1925	Mother	Claire Johnson	6.9	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/claire_johnson/mother_1925
1926	Flesh and the Devil	Carlos Alonso	7.4	Una buena película para ver con tu pareja	https.//palomitas.com/películas/carlos_alonso/flesh_and_the_devil_1926
1926	Nana	Carlos Alonso	6.3	Una buena película para ver con tu pareja	https.//palomitas.com/películas/carlos_alonso/nana_1926
1928	The Sex Life of the Polyp	Paula Lago	5.5	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/the_sex_life_of_the_polyp_1928
1931	Night Nurse	Fermín Álvarez	7.2	Gran película, muy recomendable	https.//forummovies.org/reviews/fermín_álvarez/night_nurse_1931
1933	The Barber Shop	Phill Freeman	5.7	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/the_barber_shop_1933
1933	I Cover the Waterfront	Phill Freeman	6.0	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/phill_freeman/i_cover_the_waterfront_1933
1935	Mad Love	Claire Johnson	6.3	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/claire_johnson/mad_love_1935
1936	Dancing Pirate	Paula Lago	4.8	Me gustó mucho y disfruté viéndola	https.//cinemanía.com/paula/paula_lago/dancing_pirate_1936
1936	Little Lord Fauntleroy	Paula Lago	6.9	Película entretenida para pasar el rato	https.//cinemanía.com/paula/paula_lago/little_lord_fauntleroy_1936
1939	Drums Along the Mohawk	Carlos Alonso	6.5	Una buena película para ver con tu pareja	https.//palomitas.com/películas/carlos_alonso/drums_along_the_mohawk_1939
1939	Trouble Brewing	Carlos Alonso	6.1	Una buena película para ver con tu pareja	https.//palomitas.com/películas/carlos_alonso/trouble_brewing_1939
1941	That Hamilton Woman	Phill Freeman	7.2	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/phill_freeman/that_hamilton_woman_1941
1944	Raigekitai Shutsudu00f4	Oscar Gutiérrez	4.8	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/oscar_gutiérrez/raigekitai_shutsudu00f4_1944
1942	Moontide	Luisa Molina	6.5	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/moontide_1942
1942	Nothing But Nerves	Luisa Molina	5.9	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/nothing_but_nerves_1942
1945	Paris Frills	Fermín Álvarez	7.7	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/fermín_álvarez/paris_frills_1945
1946	The Best Years of Our Lives	Paula Lago	7.7	Una buena película para ver con tu pareja	https.//cinemanía.com/paula/paula_lago/the_best_years_of_our_lives_1946
1945	The Body Snatcher	Fermín Álvarez	6.9	Película entretenida para pasar el rato	https.//forummovies.org/reviews/fermín_álvarez/the_body_snatcher_1945
1947	Mother Wore Tights	Luisa Molina	6.0	Me gustó mucho y disfruté viéndola	https.//foro_pelis.es/luisam/luisa_molina/mother_wore_tights_1947
1952	Affair in Trinidad	Carlos Alonso	6.8	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/carlos_alonso/affair_in_trinidad_1952
1952	Glory at Sea	Carlos Alonso	5.4	Me gustó mucho y disfruté viéndola	https.//palomitas.com/películas/carlos_alonso/glory_at_sea_1952
1953	Innocents in Paris	Phill Freeman	6.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/innocents_in_paris_1953
1953	Fear and Desire	Phill Freeman	4.7	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/fear_and_desire_1953
1953	I Confess	Phill Freeman	6.4	Gran película, muy recomendable	https.//forummovies.org/reviews/phill_freeman/i_confess_1953
1953	The Earrings of Madame De...	Phill Freeman	8.6	Una buena película para ver con tu pareja	https.//forummovies.org/reviews/phill_freeman/the_earrings_of_madame_de..._1953
1953	The President's Lady	Phill Freeman	7.5	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/the_president's_lady_1953
1953	The Stranger Wore a Gun	Phill Freeman	5.2	Me gustó mucho y disfruté viéndola	https.//forummovies.org/reviews/phill_freeman/the_stranger_wore_a_gun_1953
