Chinese Roulette	1976	Rainer Werner Fassbinder	1945	1982
Life Is Beautiful	1997	Roberto Benigni	1952	NULL
The Accidental Husband	2008	Griffin Dunne	1955	NULL
Ironclad	2011	Jonathan English	NULL	NULL
Fru00e5n och med herr Gunnar Papphammar	1981	Gösta Ekman	1939	2017
Long Live Rock: Celebrate the Chaos	2019	Jonathan McHugh	NULL	NULL
Twister's Revenge!	1988	Bill Rebane	1937	NULL
The Covenant	2006	Renny Harlin	1959	NULL
A Birder's Guide to Everything	2013	Rob Meyer	NULL	NULL
Spring Awakening: Those You've Known	2022	Michael John Warren	NULL	NULL
Take It Out in Trade: The Outtakes	1995	Edward D. Wood Jr.	1924	1978
Homeboy	1988	Michael Seresin	1942	NULL
Bruh.mp4	2020	Andrew Burdette	NULL	NULL
In the Beginning	2009	Xavier Giannoli	1970	NULL
Yu-Gi-Oh!: The Dark Side of Dimensions	2016	Satoshi Kuwabara	NULL	NULL
Riff-Raff	1991	Ken Loach	1936	NULL
Route Irish	2010	Ken Loach	1936	NULL
The Den	2013	Zachary Donohue	NULL	NULL
Top Coat Cash	2017	David Tittone	NULL	NULL
Among Thieves	2019	K.C. Schrimpl	NULL	NULL
Unknown Origins	2020	David Galán Galindo	NULL	NULL
Paris Frills	1945	Jacques Becker	1906	1960
Affair in Trinidad	1952	Vincent Sherman	1906	2006
Bliss	1997	Lance Young	NULL	NULL
Punishment Island	1966	Masahiro Shinoda	1931	NULL
Black	2005	Sanjay Leela Bhansali	1963	NULL
Calm Like a Bomb	2021	Mauro Russo Rouge	NULL	NULL
Ace Wonder: Message from a Dead Man	2014	John Robert Moore	NULL	NULL
A Very Murray Christmas	2015	Sofia Coppola	1971	NULL
15 Minutes of War	2019	Fred Grivois	NULL	NULL
Journey to the Center of the Earth	1988	Rusty Lemorande	NULL	NULL
Double Trouble	1992	John Paragon	1954	2021
This Is England	2006	Shane Meadows	1972	NULL
The Confessions	2016	Roberto Andò	1959	NULL
One Day	2017	Yoon-ki Lee	NULL	NULL
Extremely Analytical	2021	Dawn Fleischman	NULL	NULL
Driven to Dance	2018	Tati Elsher	NULL	NULL
The Devil, Probably	1977	Robert Bresson	1901	1999
Joan the Maid 2: The Prisons	1994	Jacques Rivette	1928	2016
Young Adult	2011	Jason Reitman	1977	NULL
I'd Kill for You	2018	Monika Lynn Wesley	NULL	NULL
The Barber Shop	1933	Arthur Ripley	1897	1961
Young and Innocent	1937	Alfred Hitchcock	1899	1980
I Confess	1953	Alfred Hitchcock	1899	1980
To Catch a Thief	1955	Alfred Hitchcock	1899	1980
Mystic Pizza	1988	Donald Petrie	1954	NULL
Beauty and the Bastard	2005	Dome Karukoski	1976	NULL
The Old Ways	2020	Christopher Alender	1977	NULL
Man on a Ledge	2012	Asger Leth	NULL	NULL
La cebra	2011	Fernando Javier León Rodríguez	NULL	NULL
A Stand Up Guy	2016	Mike Young	NULL	NULL
The Devil and Holy Water	1983	Bruno Corbucci	1931	1996
Shrunken Heads	1994	Richard Elfman	1949	NULL
Pearl Harbor	2001	Michael Bay	1965	NULL
Madam Q	1996	San-Feng Chang	NULL	NULL
Beowulf & Grendel	2005	Sturla Gunnarsson	1951	NULL
The Substance: Albert Hofmann's LSD	2011	Martin Witz	NULL	NULL
Cheap Flight!!	2013	Satoru Nakajima	NULL	NULL
Glory at Sea	1952	Compton Bennett	1900	1974
Jacob	1994	Peter Hall	1930	2017
Shark Night	2011	David R. Ellis	1952	2013
Vox Lux	2018	Brady Corbet	1988	NULL
One Nation, One King	2018	Pierre Schoeller	1961	NULL
Wish Man	2019	Theo Davies	NULL	NULL
Jam	2018	Sabu	1964	NULL
The Tin Drum	1979	Volker Schlöndorff	1939	NULL
